ID_Cliente,Nome_Cliente,Data_Criacao
CLI000064,Larissa Dias Martins,25/10/2013
CLI000065,Karina Oliveira Oliveira,20/07/2012
CLI000066,Otavio Cardoso Dias,09/09/2015
CLI000067,Olivia Cardoso Lima,20/05/2013
CLI000068,Kleber Campos Henrique,03/11/2019
CLI000069,Daniela Martins Queiroz,25/04/2010
CLI000070,Olivia Nascimento Melo,23/12/2021
CLI000071,Otavio Henrique Leite,18/02/2020
CLI000072,Beatriz Campos Gomes,17/08/2019
CLI000073,Gustavo Nascimento Pereira,23/08/2016
CLI000074,Flavia Ribeiro Jesus,02/11/2017
CLI000075,Joao Henrique Pereira,16/12/2025
CLI000076,Gustavo Oliveira Pereira,24/07/2025
CLI000077,Samuel Ferreira Freitas,29/05/2019
CLI000078,Larissa Garcia Duarte,22/09/2012
CLI000079,Fernanda Campos Oliveira,06/08/2020
CLI000080,Vinicius Garcia Dias,11/08/2014
CLI000081,Joao Melo Campos,29/01/2024
CLI000082,Larissa Ribeiro Teixeira,08/08/2025
CLI000083,Patricia Jesus Duarte,11/07/2011
CLI000084,Flavia Barbosa Martins,10/07/2022
CLI000085,Vinicius Monteiro Gomes,21/03/2023
CLI000086,Gabriel Dias Dias,16/11/2017
CLI000087,Vinicius Ribeiro Silva,25/03/2010
CLI000088,Daniela Rocha Ferreira,02/12/2016
CLI000089,Enzo Almeida Pereira,06/10/2013
CLI000090,Rafael Garcia Rocha,18/07/2010
CLI000091,Beatriz Inacio Teixeira,09/02/2022
CLI000092,Beatriz Vieira Monteiro,25/01/2017
CLI000093,Igor Rocha Leite,28/08/2017
CLI000094,Enzo Vieira Leite,22/08/2016
CLI000095,Leonardo Leite Garcia,23/05/2020
CLI000096,Marcos Garcia Barbosa,13/03/2011
CLI000097,Vinicius Ribeiro Duarte,05/05/2011
CLI000098,Samuel Nascimento Gomes,12/09/2015
CLI000099,Igor Cardoso Teixeira,19/07/2010
CLI000100,Igor Esteves Gomes,30/06/2024
CLI000101,Yasmin Araujo Freitas,27/08/2019
CLI000102,Gabriel Barbosa Campos,21/11/2021
CLI000103,Isabela Barbosa Freitas,01/11/2018
CLI000104,Caio Garcia Araujo,27/04/2012
CLI000105,Paulo Araujo Araujo,05/03/2023
CLI000106,Juliana Freitas Garcia,17/12/2015
CLI000107,Patricia Lima Leite,09/10/2020
CLI000108,Bruno Silva Queiroz,01/05/2016
CLI000109,Flavia Esteves Garcia,25/10/2012
CLI000110,Renata Batista Dias,03/09/2020
CLI000111,Enzo Dias Ferreira,01/03/2021
CLI000112,Rafael Freitas Teixeira,13/08/2012
CLI000113,Gabriel Jesus Batista,25/11/2020
CLI000114,Daniela Garcia Monteiro,09/01/2013
CLI000115,Daniela Ferreira Nascimento,22/05/2013
CLI000116,Enzo Martins Jesus,11/12/2016
CLI000117,Ana Campos Melo,19/05/2012
CLI000118,Marcos Inacio Barbosa,10/04/2011
CLI000119,Olivia Leite Henrique,09/05/2026
CLI000120,Nicolas Monteiro Ribeiro,28/12/2022
CLI000121,Vanessa Cardoso Duarte,27/10/2025
CLI000122,Samuel Melo Oliveira,03/09/2013
CLI000123,Marcos Araujo Dias,13/12/2010
CLI000124,Sabrina Almeida Esteves,23/03/2010
CLI000125,Patricia Ribeiro Almeida,16/09/2015
CLI000126,Mariana Martins Monteiro,17/04/2017
CLI000127,Enzo Vieira Silva,06/04/2011
CLI000128,Kleber Leite Henrique,02/03/2025
CLI000129,Karina Oliveira Lima,03/10/2021
CLI000130,Rafael Batista Freitas,07/08/2017
CLI000131,Karina Ribeiro Araujo,24/03/2021
CLI000132,Nicolas Oliveira Batista,19/03/2020
CLI000133,Marcos Almeida Jesus,03/01/2024
CLI000134,Gabriel Queiroz Freitas,11/06/2022
CLI000135,Larissa Almeida Jesus,07/11/2018
CLI000136,Karina Leite Melo,19/04/2020
CLI000137,Renata Ferreira Barbosa,17/09/2022
CLI000138,Ana Ferreira Duarte,03/04/2019
CLI000139,Marcos Jesus Ribeiro,31/12/2010
CLI000140,Daniela Rocha Martins,19/01/2010
CLI000141,Vinicius Garcia Vieira,12/06/2026
CLI000142,Patricia Cardoso Queiroz,03/05/2023
CLI000143,Enzo Henrique Henrique,31/03/2011
CLI000144,Sabrina Inacio Esteves,16/08/2012
CLI000145,Bruno Ferreira Ribeiro,12/11/2016
CLI000146,Eduardo Henrique Batista,08/08/2015
CLI000147,Alexandre Rocha Almeida,24/07/2021
CLI000148,Alexandre Queiroz Dias,20/04/2020
CLI000149,Igor Batista Henrique,25/02/2010
CLI000150,Paulo Dias Teixeira,07/01/2015
CLI000151,Carlos Batista Pereira,30/07/2016
CLI000152,Sabrina Duarte Leite,05/08/2020
CLI000153,Kleber Esteves Oliveira,12/07/2025
CLI000154,Debora Garcia Teixeira,02/03/2025
CLI000155,Debora Esteves Queiroz,26/11/2020
CLI000156,Mariana Pereira Araujo,09/10/2015
CLI000157,Leonardo Batista Araujo,25/10/2023
CLI000158,Sabrina Silva Martins,11/08/2014
CLI000159,Paulo Martins Melo,12/06/2021
CLI000160,Kleber Lima Duarte,06/01/2023
CLI000161,Flavia Queiroz Rocha,18/10/2014
CLI000162,Eduardo Leite Monteiro,12/04/2010
CLI000163,Paulo Silva Melo,02/08/2011
CLI000164,Vinicius Rocha Lima,11/06/2024
CLI000165,Marcos Lima Esteves,01/05/2021
CLI000166,Vanessa Melo Melo,15/06/2025
CLI000167,Alexandre Inacio Garcia,30/09/2015
CLI000168,Karina Ribeiro Araujo,17/08/2022
CLI000169,Fernanda Nascimento Monteiro,06/11/2024
CLI000170,Natalia Pereira Martins,29/04/2019
CLI000171,Kleber Melo Batista,08/02/2012
CLI000172,Ana Ferreira Ribeiro,01/01/2026
CLI000173,Samuel Cardoso Almeida,02/10/2024
CLI000174,Nicolas Barbosa Rocha,23/05/2026
CLI000175,Eduardo Esteves Barbosa,07/05/2024
CLI000176,Leonardo Freitas Dias,17/06/2020
CLI000177,Joao Pereira Freitas,05/05/2014
CLI000178,Natalia Araujo Freitas,10/03/2016
CLI000179,Thiago Inacio Campos,23/09/2021
CLI000180,Leonardo Cardoso Queiroz,28/12/2014
CLI000181,Leonardo Dias Barbosa,15/06/2011
CLI000182,Helena Campos Melo,07/02/2014
CLI000183,Flavia Martins Teixeira,18/06/2016
CLI000184,Gabriel Barbosa Inacio,10/12/2019
CLI000185,Karina Jesus Ribeiro,22/12/2024
CLI000186,Bruno Ribeiro Lima,29/01/2013
CLI000187,Joao Silva Ribeiro,02/04/2019
CLI000188,Caio Rocha Lima,27/11/2014
CLI000189,Fernanda Monteiro Leite,26/11/2014
CLI000190,Alexandre Barbosa Lima,15/03/2010
CLI000191,Joao Batista Vieira,21/02/2018
CLI000192,Sabrina Martins Jesus,08/06/2010
CLI000193,Vinicius Esteves Teixeira,28/06/2014
CLI000194,Helena Campos Nascimento,31/05/2017
CLI000195,Otavio Batista Dias,02/06/2015
CLI000196,Otavio Oliveira Dias,07/06/2015
CLI000197,Flavia Campos Melo,16/10/2019
CLI000198,Karina Oliveira Vieira,01/11/2021
CLI000199,Joao Barbosa Inacio,24/05/2014
CLI000200,Vinicius Silva Batista,21/02/2012
CLI000201,Marcos Dias Barbosa,27/08/2023
CLI000202,Vanessa Monteiro Pereira,11/03/2018
CLI000203,Juliana Oliveira Teixeira,16/02/2021
CLI000204,Mariana Freitas Duarte,15/03/2016
CLI000205,Beatriz Leite Oliveira,19/12/2012
CLI000206,Vinicius Campos Araujo,24/01/2018
CLI000207,Otavio Inacio Henrique,30/08/2018
CLI000208,Rafael Teixeira Almeida,15/09/2017
CLI000209,Ana Freitas Martins,06/10/2025
CLI000210,Fernanda Freitas Pereira,15/03/2010
CLI000211,Leonardo Queiroz Nascimento,15/04/2021
CLI000212,Vinicius Pereira Garcia,17/09/2013
CLI000213,Vanessa Cardoso Queiroz,20/04/2012
CLI000214,Gabriel Campos Freitas,21/10/2016
CLI000215,Eduardo Almeida Ribeiro,19/02/2016
CLI000216,Bruno Oliveira Melo,19/05/2024
CLI000217,Alexandre Leite Queiroz,08/04/2020
CLI000218,Flavia Barbosa Melo,21/09/2022
CLI000219,Fernanda Freitas Martins,22/12/2016
CLI000220,Samuel Vieira Vieira,21/03/2016
CLI000221,Vinicius Esteves Inacio,10/06/2021
CLI000222,Natalia Ferreira Teixeira,30/04/2015
CLI000223,Samuel Dias Dias,08/08/2021
CLI000224,Leonardo Pereira Leite,23/01/2018
CLI000225,Paulo Ribeiro Monteiro,18/03/2025
CLI000226,Rafael Silva Pereira,26/03/2023
CLI000227,Otavio Araujo Pereira,11/05/2024
CLI000228,Vinicius Araujo Monteiro,09/02/2023
CLI000229,Kleber Cardoso Duarte,31/07/2017
CLI000230,Beatriz Gomes Nascimento,24/03/2026
CLI000231,Flavia Gomes Jesus,11/01/2021
CLI000232,Eduardo Araujo Araujo,19/05/2012
CLI000233,Leonardo Martins Barbosa,08/12/2014
CLI000234,Ana Cardoso Gomes,12/04/2023
CLI000235,Joao Gomes Araujo,20/07/2011
CLI000236,Karina Garcia Garcia,07/10/2022
CLI000237,Karina Campos Henrique,05/12/2024
CLI000238,Eduardo Melo Melo,12/03/2022
CLI000239,Juliana Oliveira Lima,16/06/2024
CLI000240,Isabela Oliveira Nascimento,14/06/2017
CLI000241,Isabela Ferreira Monteiro,02/12/2012
CLI000242,Igor Jesus Batista,30/04/2020
CLI000243,Igor Nascimento Henrique,06/06/2024
CLI000244,Larissa Batista Dias,16/04/2024
CLI000245,Rafael Barbosa Queiroz,05/10/2019
CLI000246,Renata Batista Freitas,23/09/2024
CLI000247,Joao Almeida Oliveira,13/12/2014
CLI000248,Nicolas Leite Campos,02/11/2016
CLI000249,Tatiana Rocha Almeida,15/06/2018
CLI000250,Olivia Jesus Barbosa,27/01/2015
CLI000251,Tatiana Freitas Queiroz,22/04/2018
CLI000252,Enzo Cardoso Silva,23/12/2010
CLI000253,Tatiana Vieira Araujo,25/06/2025
CLI000254,Vinicius Rocha Esteves,12/04/2010
CLI000255,Bruno Dias Gomes,26/09/2012
CLI000256,Karina Teixeira Almeida,16/07/2023
CLI000257,Flavia Martins Henrique,18/01/2021
CLI000258,Igor Barbosa Monteiro,17/01/2020
CLI000259,Helena Melo Inacio,03/08/2012
CLI000260,Flavia Rocha Esteves,20/11/2010
CLI000261,Ana Leite Esteves,25/09/2015
CLI000262,Igor Martins Martins,14/07/2020
CLI000263,Fernanda Barbosa Pereira,30/11/2020
CLI000264,Joao Melo Martins,25/02/2013
CLI000265,Gabriel Oliveira Oliveira,13/08/2017
CLI000266,Gabriel Vieira Inacio,21/06/2014
CLI000267,Fernanda Jesus Jesus,30/03/2015
CLI000268,Flavia Leite Freitas,02/02/2014
CLI000269,Bruno Queiroz Almeida,07/07/2025
CLI000270,Otavio Araujo Vieira,04/10/2024
CLI000271,Yasmin Teixeira Melo,30/05/2013
CLI000272,Rafael Almeida Teixeira,05/11/2011
CLI000273,Caio Leite Araujo,18/02/2016
CLI000274,Kleber Gomes Rocha,22/08/2011
CLI000275,Yasmin Lima Jesus,04/12/2023
CLI000276,Daniela Dias Batista,22/09/2015
CLI000277,Patricia Lima Esteves,11/09/2018
CLI000278,Sabrina Silva Monteiro,21/12/2010
CLI000279,Mariana Barbosa Duarte,23/05/2022
CLI000280,Debora Melo Oliveira,24/08/2011
CLI000281,Karina Dias Leite,22/11/2024
CLI000282,Renata Duarte Cardoso,10/01/2024
CLI000283,Leonardo Almeida Teixeira,06/04/2019
CLI000284,Mariana Leite Batista,30/11/2021
CLI000285,Ana Garcia Gomes,26/12/2021
CLI000286,Alexandre Vieira Dias,08/03/2013
CLI000287,Helena Freitas Garcia,16/01/2010
CLI000288,Isabela Barbosa Cardoso,21/01/2026
CLI000289,Ana Rocha Gomes,23/06/2020
CLI000290,Vanessa Nascimento Martins,11/05/2014
CLI000291,Debora Nascimento Almeida,25/01/2022
CLI000292,Bruno Cardoso Ferreira,09/02/2025
CLI000293,Isabela Henrique Martins,20/01/2024
CLI000294,Samuel Rocha Duarte,14/04/2010
CLI000295,Beatriz Martins Barbosa,19/04/2010
CLI000296,Igor Inacio Araujo,27/03/2011
CLI000297,Kleber Ferreira Duarte,30/01/2026
CLI000298,Alexandre Martins Monteiro,23/02/2024
CLI000299,Isabela Inacio Queiroz,24/09/2017
CLI000300,Larissa Gomes Oliveira,21/04/2022
CLI000301,Bruno Garcia Queiroz,29/12/2011
CLI000302,Karina Nascimento Campos,02/11/2021
CLI000303,Daniela Cardoso Queiroz,28/05/2024
CLI000304,Caio Pereira Araujo,08/04/2011
CLI000305,Igor Queiroz Gomes,31/05/2013
CLI000306,Yasmin Lima Freitas,03/07/2017
CLI000307,Otavio Henrique Lima,16/06/2022
CLI000308,Nicolas Ribeiro Batista,16/10/2010
CLI000309,Thiago Oliveira Garcia,27/09/2020
CLI000310,Alexandre Vieira Inacio,22/06/2020
CLI000311,Beatriz Lima Teixeira,24/03/2015
CLI000312,Patricia Almeida Garcia,25/06/2022
CLI000313,Tatiana Freitas Queiroz,23/12/2015
CLI000314,Debora Vieira Campos,12/05/2010
CLI000315,Samuel Batista Martins,18/10/2017
CLI000316,Karina Freitas Esteves,29/08/2015
CLI000317,Thiago Monteiro Nascimento,15/01/2025
CLI000318,Juliana Monteiro Pereira,23/09/2022
CLI000319,Fernanda Oliveira Almeida,20/03/2021
CLI000320,Flavia Vieira Garcia,17/09/2012
CLI000321,Karina Esteves Lima,27/03/2015
CLI000322,Caio Nascimento Dias,18/06/2014
CLI000323,Samuel Henrique Dias,31/10/2015
CLI000324,Patricia Ferreira Esteves,11/07/2023
CLI000325,Vanessa Silva Freitas,09/05/2025
CLI000326,Fernanda Ferreira Oliveira,27/07/2017
CLI000327,Kleber Araujo Martins,24/03/2025
CLI000328,Debora Rocha Henrique,16/09/2017
CLI000329,Helena Garcia Esteves,02/10/2024
CLI000330,Fernanda Lima Esteves,24/03/2021
CLI000331,Gabriel Queiroz Queiroz,28/05/2019
CLI000332,Larissa Duarte Rocha,10/10/2020
CLI000333,Daniela Leite Barbosa,17/10/2013
CLI000334,Tatiana Henrique Nascimento,26/10/2017
CLI000335,Natalia Rocha Araujo,21/08/2020
CLI000336,Paulo Lima Melo,07/07/2018
CLI000337,Yasmin Cardoso Teixeira,20/03/2022
CLI000338,Larissa Barbosa Rocha,23/03/2018
CLI000339,Natalia Rocha Nascimento,02/04/2012
CLI000340,Renata Dias Pereira,30/12/2019
CLI000341,Joao Inacio Esteves,11/07/2010
CLI000342,Debora Silva Dias,21/09/2011
CLI000343,Patricia Ribeiro Ribeiro,23/12/2013
CLI000344,Vinicius Barbosa Esteves,26/07/2025
CLI000345,Karina Gomes Rocha,15/05/2019
CLI000346,Bruno Barbosa Oliveira,11/08/2016
CLI000347,Yasmin Esteves Campos,27/08/2025
CLI000348,Otavio Freitas Vieira,30/11/2019
CLI000349,Patricia Lima Melo,24/07/2013
CLI000350,Bruno Melo Gomes,20/05/2024
CLI000351,Mariana Henrique Garcia,04/12/2023
CLI000352,Karina Gomes Monteiro,23/10/2015
CLI000353,Yasmin Ribeiro Jesus,06/04/2017
CLI000354,Juliana Gomes Martins,31/08/2013
CLI000355,Carlos Teixeira Martins,31/12/2019
CLI000356,Debora Melo Queiroz,24/08/2017
CLI000357,Helena Monteiro Oliveira,14/02/2025
CLI000358,Juliana Leite Nascimento,14/03/2022
CLI000359,Daniela Campos Oliveira,24/03/2013
CLI000360,Otavio Leite Melo,08/09/2011
CLI000361,Tatiana Inacio Barbosa,15/09/2023
CLI000362,Igor Freitas Silva,21/11/2010
CLI000363,Sabrina Silva Garcia,07/07/2022
CLI000364,Natalia Inacio Esteves,03/06/2010
CLI000365,Debora Dias Martins,07/02/2010
CLI000366,Natalia Vieira Nascimento,24/09/2022
CLI000367,Carlos Henrique Leite,30/11/2025
CLI000368,Patricia Campos Leite,16/03/2021
CLI000369,Thiago Jesus Rocha,10/08/2011
CLI000370,Yasmin Teixeira Teixeira,10/09/2014
CLI000371,Vinicius Teixeira Duarte,08/07/2024
CLI000372,Joao Garcia Garcia,03/01/2022
CLI000373,Vanessa Gomes Lima,07/12/2022
CLI000374,Yasmin Almeida Melo,15/06/2025
CLI000375,Kleber Queiroz Inacio,09/06/2013
CLI000376,Helena Leite Inacio,13/11/2016
CLI000377,Larissa Rocha Dias,18/01/2016
CLI000378,Vinicius Rocha Garcia,06/01/2016
CLI000379,Ana Almeida Cardoso,04/05/2026
CLI000380,Kleber Queiroz Ferreira,21/09/2017
CLI000381,Enzo Ribeiro Ferreira,01/10/2021
CLI000382,Paulo Queiroz Teixeira,18/11/2017
CLI000383,Sabrina Nascimento Duarte,09/05/2016
CLI000384,Rafael Silva Garcia,10/06/2018
CLI000385,Eduardo Rocha Esteves,07/11/2014
CLI000386,Alexandre Cardoso Araujo,01/07/2017
CLI000387,Marcos Martins Barbosa,01/02/2012
CLI000388,Larissa Melo Dias,25/04/2026
CLI000389,Karina Gomes Lima,16/08/2012
CLI000390,Mariana Freitas Campos,29/07/2014
CLI000391,Kleber Martins Vieira,25/09/2019
CLI000392,Samuel Oliveira Nascimento,20/12/2014
CLI000393,Caio Freitas Campos,29/03/2022
CLI000394,Larissa Leite Queiroz,06/06/2022
CLI000395,Patricia Dias Ribeiro,03/02/2021
CLI000396,Beatriz Lima Araujo,27/01/2020
CLI000397,Patricia Almeida Gomes,13/08/2012
CLI000398,Tatiana Monteiro Barbosa,26/12/2023
CLI000399,Juliana Leite Nascimento,24/10/2022
CLI000400,Sabrina Garcia Barbosa,25/09/2019
CLI000401,Kleber Araujo Inacio,08/08/2014
CLI000402,Bruno Almeida Silva,14/11/2025
CLI000403,Fernanda Martins Rocha,24/05/2026
CLI000404,Debora Martins Inacio,07/01/2017
CLI000405,Nicolas Rocha Melo,12/02/2011
CLI000406,Fernanda Freitas Garcia,26/06/2013
CLI000407,Joao Jesus Teixeira,10/07/2014
CLI000408,Enzo Gomes Vieira,24/12/2022
CLI000409,Tatiana Queiroz Vieira,09/04/2024
CLI000410,Paulo Duarte Ribeiro,23/02/2013
CLI000411,Fernanda Esteves Vieira,23/01/2017
CLI000412,Beatriz Ferreira Araujo,20/11/2011
CLI000413,Enzo Jesus Pereira,01/03/2020
CLI000414,Debora Esteves Almeida,22/09/2020
CLI000415,Bruno Teixeira Ferreira,08/01/2016
CLI000416,Leonardo Cardoso Gomes,12/04/2018
CLI000417,Karina Jesus Garcia,15/10/2014
CLI000418,Renata Dias Freitas,21/12/2010
CLI000419,Helena Araujo Gomes,14/04/2019
CLI000420,Daniela Cardoso Martins,21/04/2021
CLI000421,Alexandre Ferreira Batista,12/04/2013
CLI000422,Vinicius Esteves Oliveira,31/10/2017
CLI000423,Kleber Vieira Teixeira,25/09/2023
CLI000424,Eduardo Esteves Ferreira,05/05/2026
CLI000425,Debora Oliveira Freitas,22/03/2012
CLI000426,Mariana Esteves Lima,04/06/2022
CLI000427,Marcos Silva Monteiro,21/07/2022
CLI000428,Bruno Garcia Freitas,13/12/2021
CLI000429,Enzo Vieira Freitas,22/02/2018
CLI000430,Carlos Ferreira Gomes,21/11/2021
CLI000431,Olivia Silva Esteves,15/08/2019
CLI000432,Marcos Teixeira Duarte,27/10/2018
CLI000433,Ana Dias Freitas,14/11/2013
CLI000434,Vanessa Lima Monteiro,03/09/2022
CLI000435,Karina Cardoso Dias,05/11/2010
CLI000436,Enzo Vieira Queiroz,02/11/2020
CLI000437,Gustavo Leite Pereira,26/06/2023
CLI000438,Mariana Rocha Pereira,24/09/2014
CLI000439,Patricia Lima Ribeiro,13/11/2023
CLI000440,Otavio Duarte Pereira,13/10/2017
CLI000441,Leonardo Melo Duarte,25/05/2026
CLI000442,Bruno Martins Pereira,15/08/2021
CLI000443,Thiago Inacio Duarte,11/05/2019
CLI000444,Marcos Ferreira Silva,22/08/2014
CLI000445,Samuel Pereira Nascimento,09/07/2026
CLI000446,Fernanda Garcia Melo,25/02/2014
CLI000447,Marcos Rocha Araujo,12/09/2016
CLI000448,Vanessa Campos Dias,19/05/2026
CLI000449,Nicolas Araujo Dias,15/02/2012
CLI000450,Natalia Freitas Teixeira,28/08/2015
CLI000451,Larissa Pereira Almeida,20/02/2019
CLI000452,Alexandre Lima Teixeira,29/09/2017
CLI000453,Vanessa Rocha Dias,01/11/2013
CLI000454,Natalia Almeida Queiroz,15/12/2025
CLI000455,Alexandre Dias Teixeira,16/06/2019
CLI000456,Thiago Silva Batista,05/05/2025
CLI000457,Yasmin Lima Rocha,25/06/2023
CLI000458,Sabrina Leite Lima,06/07/2024
CLI000459,Enzo Esteves Melo,11/02/2013
CLI000460,Nicolas Cardoso Duarte,21/06/2010
CLI000461,Olivia Gomes Nascimento,23/12/2019
CLI000462,Otavio Gomes Martins,05/03/2016
CLI000463,Yasmin Campos Esteves,07/08/2021
CLI000464,Paulo Leite Oliveira,25/10/2017
CLI000465,Enzo Batista Almeida,24/02/2011
CLI000466,Leonardo Nascimento Barbosa,16/02/2016
CLI000467,Enzo Teixeira Oliveira,28/08/2019
CLI000468,Thiago Cardoso Gomes,26/03/2016
CLI000469,Enzo Melo Oliveira,12/06/2024
CLI000470,Gustavo Silva Queiroz,03/08/2015
CLI000471,Vinicius Martins Araujo,20/12/2011
CLI000472,Alexandre Gomes Martins,25/03/2012
CLI000473,Yasmin Queiroz Cardoso,23/05/2022
CLI000474,Isabela Ferreira Jesus,14/09/2022
CLI000475,Kleber Silva Oliveira,24/05/2012
CLI000476,Gustavo Rocha Cardoso,25/01/2019
CLI000477,Thiago Teixeira Silva,07/10/2016
CLI000478,Rafael Freitas Queiroz,07/11/2015
CLI000479,Debora Almeida Esteves,30/04/2020
CLI000480,Leonardo Lima Henrique,10/03/2024
CLI000481,Carlos Cardoso Teixeira,09/01/2022
CLI000482,Nicolas Duarte Freitas,09/06/2020
CLI000483,Daniela Nascimento Ferreira,07/05/2017
CLI000484,Alexandre Almeida Garcia,18/04/2020
CLI000485,Isabela Melo Campos,26/01/2010
CLI000486,Renata Silva Garcia,23/01/2018
CLI000487,Leonardo Teixeira Martins,15/02/2012
CLI000488,Debora Barbosa Duarte,13/02/2016
CLI000489,Rafael Campos Garcia,30/09/2016
CLI000490,Helena Cardoso Freitas,03/02/2025
CLI000491,Renata Queiroz Almeida,05/10/2018
CLI000492,Otavio Araujo Araujo,12/10/2014
CLI000493,Kleber Martins Almeida,13/04/2015
CLI000494,Nicolas Melo Teixeira,30/04/2020
CLI000495,Igor Garcia Ferreira,08/12/2011
CLI000496,Debora Campos Batista,25/05/2013
CLI000497,Samuel Pereira Queiroz,18/05/2015
CLI000498,Samuel Pereira Ferreira,20/08/2017
CLI000499,Patricia Barbosa Duarte,02/09/2015
CLI000500,Gabriel Esteves Silva,31/05/2014
CLI000501,Leonardo Garcia Almeida,14/08/2012
CLI000502,Leonardo Esteves Jesus,02/05/2024
CLI000503,Alexandre Ribeiro Barbosa,27/12/2016
CLI000504,Alexandre Rocha Batista,27/12/2021
CLI000505,Paulo Lima Batista,05/06/2016
CLI000506,Gustavo Batista Ferreira,25/08/2021
CLI000507,Tatiana Jesus Teixeira,28/01/2023
CLI000508,Debora Campos Inacio,07/05/2013
CLI000509,Patricia Vieira Henrique,09/08/2024
CLI000510,Alexandre Dias Rocha,14/08/2018
CLI000511,Gustavo Esteves Ribeiro,27/12/2017
CLI000512,Mariana Lima Lima,05/04/2017
CLI000513,Igor Vieira Cardoso,08/11/2018
CLI000514,Thiago Nascimento Oliveira,29/03/2013
CLI000515,Vanessa Nascimento Ribeiro,08/02/2025
CLI000516,Karina Oliveira Inacio,22/06/2015
CLI000517,Natalia Ribeiro Teixeira,30/01/2014
CLI000518,Samuel Gomes Nascimento,24/05/2017
CLI000519,Enzo Martins Garcia,17/08/2018
CLI000520,Sabrina Pereira Martins,25/03/2019
CLI000521,Mariana Rocha Duarte,22/10/2015
CLI000522,Larissa Pereira Barbosa,21/04/2021
CLI000523,Larissa Almeida Dias,18/09/2014
CLI000524,Vanessa Oliveira Melo,04/03/2010
CLI000525,Otavio Cardoso Nascimento,02/02/2011
CLI000526,Karina Esteves Duarte,18/01/2023
CLI000527,Bruno Garcia Rocha,07/12/2020
CLI000528,Carlos Inacio Duarte,23/10/2012
CLI000529,Yasmin Garcia Lima,26/02/2015
CLI000530,Helena Pereira Rocha,08/10/2014
CLI000531,Alexandre Barbosa Queiroz,15/12/2019
